time,height
18.252,-1.1702209
18.276,-0.9684731
18.324,-0.38438484
18.339,0.33826965
18.369,0.9921789
18.4,1.3547084
18.447,1.1871113
18.464,0.75401175
18.497,-0.033273667
18.525,-0.82011527
18.558,-1.4223931
18.591,-1.5308409
18.625,-1.1148697
18.661,-0.31086394
18.685,0.67325443
18.721,1.4655535
18.759,1.8364044
18.779,1.6160481
18.835,0.7129112
18.855,-0.37548706
18.873,-1.3234391
18.904,-2.049196
18.936,-2.163923
18.968,-1.6149118
19.01,-0.5011023
19.042,0.81487405
19.077,1.9011972
19.103,2.3827987
19.131,2.2395034
19.163,1.4758079
19.212,-0.02184853
19.229,-1.0785799
19.26,-1.8872838
19.29,-2.2966533
19.316,-1.999604
19.354,-1.1636076
19.38,-0.015723467
19.41,1.0333773
19.442,1.7211585
19.471,1.8774056
19.505,1.5040162
19.533,0.70877326
19.565,-0.1922189
19.598,-0.9577196
19.628,-1.3198799
19.659,-1.2350278
19.694,-0.768658
19.723,-0.1180222
19.756,0.5008995
19.786,0.8481321
19.819,0.8390798
19.855,0.5126804
19.886,0.009456873
19.917,-0.46174002
19.945,-0.677743
19.976,-0.6002011
20.008,-0.24510056
20.039,0.20513009
20.07,0.61504495
20.101,0.774947
20.14,0.5772732
20.171,0.1176852
20.207,-0.50078803
20.236,-0.94272506
20.263,-1.0822358
20.295,-0.8454836
20.332,-0.17620885
20.36,0.55151415
20.389,1.2008953
20.428,1.5165017
20.457,1.2951105
20.483,0.69934404
20.516,-0.2611028
20.551,-1.1676797
20.589,-1.8729275
20.613,-1.919402
20.643,-1.3963981
20.673,-0.44682947
20.707,0.75619096
20.735,1.7244637
20.777,2.262403
20.796,2.0989926
20.836,1.1964362
20.86,9.275824E-4
20.891,-1.2979409
20.922,-2.168781
20.955,-2.4306638
20.985,-1.935406
21.017,-0.7973114
21.051,0.5319912
21.08,1.8258947
21.111,2.4869285
21.149,2.3554027
21.18,1.4723581
21.218,-0.1701732
21.245,-1.4332838
21.283,-2.4691927
21.302,-2.692035
21.334,-2.083783
21.369,-0.7835482
21.397,0.751904
21.435,2.1293397
21.468,2.8659291
21.494,2.7319877
21.525,1.7700934
21.557,0.24929033
21.587,-1.307765
21.621,-2.5111477
21.651,-2.9372103
21.69,-2.5172555
21.714,-1.2967577
21.76,0.25620714
21.788,1.675487
21.81,2.4930224
21.847,2.568727
21.874,1.8998017
21.904,0.664348
21.933,-0.61313605
21.967,-1.7245324
21.996,-2.1065464
22.031,-1.8023129
22.064,-0.9381206
22.094,0.20656389
22.125,1.1699967
22.155,1.6653659
22.191,1.5067313
22.221,0.75101185
22.25,-0.2738827
22.29,-1.2197688
22.312,-1.7462075
22.346,-1.6220002
22.376,-0.9386928
22.411,0.24999362
22.445,1.3886734
22.473,2.167745
22.501,2.2534413
22.533,1.5752052
22.564,0.39203075
22.596,-1.0812038
22.626,-2.239657
22.664,-2.8472114
22.702,-2.5017312
22.731,-1.250164
22.752,0.13101643
22.785,1.8064063
22.816,2.8921592
22.849,3.1513374
22.885,2.4350781
22.912,1.0022515
22.95,-0.80056465
22.985,-2.532068
23.01,-3.2319946
23.044,-3.1287599
23.071,-2.0789719
23.1,-0.4364115
23.133,1.3930199
23.162,2.7293384
23.195,3.3290946
23.227,2.8974009
23.258,1.567816
23.293,-0.1889416
23.32,-1.891691
23.356,-3.047789
23.381,-3.3258991
23.415,-2.6146986
23.446,-1.1681759
23.479,0.65856653
23.509,2.273685
23.539,3.1640093
23.58,3.1577716
23.609,2.1923602
23.641,0.71455395
23.669,-0.9641064
23.697,-2.3340626
23.73,-3.045937
23.76,-2.867617
23.792,-1.900056
23.824,-0.49482924
23.855,1.0054624
23.888,2.1270838
